strategy_id,createTime,daySaleStrategy,winRate,fetched_query
460736,2026-01-29 21:10:26,2,73.6786,非ST，日涨幅>0%且<2.8%，换手率>2.15%，近5日未创新高，周成交量环比增长从大到小排序  
460732,2026-01-29 20:32:07,2,81.4031,"非ST,日涨幅>0%且<3%，近5日未创新高，主力净流入>0;周成交量环比增长率>45%，筹码集中度90小于15，周成交量环比增长从大到小排序"
460702,2026-01-29 15:40:08,2,76.7578,"20日区间涨跌幅<35%，周成交量增长率>99%，近5日的区间涨跌幅<15%，近2日成交量>=5日均量*1.5，日涨跌幅>0%且<6%，主板，非ST，流通市值30亿-600亿,股价2-50元"
460502,2026-01-28 08:47:59,2,80.787,20日的区间涨跌幅<10%换手率<11%总市值<300亿元周成交量增长率>100%当日的涨跌幅>0%且当日的涨跌幅<4%股票简称不包含st上市交易日天数>5上市交易日天数>60或上市交易日天数<=5股票近5日的区间涨跌幅<8%资金流向>500万元
459904,2026-01-25 17:58:29,2,78.5553,非ST，非科创，非创业，非北交，日涨幅>0%且<3%，换手率>2%，筹码集中度90小于15，周成交量环比增长从大到小排序
459894,2026-01-25 15:28:42,2,77.2994,非st，非科创板，非北交所，周成交量环比增长率大于150%，RSI 30-70，昨天涨跌从大到小排列
459628,2026-01-24 09:32:00,2,78.4024,50日涨跌幅小于35%，换手率小于15%，市值小于200亿元，周成交量环比增长率大于100%，当日涨幅＜7%，非ST，非科创板，股价小于30元，rsi买入条件，红肥绿瘦股票，
459588,2026-01-23 22:17:48,2,65.3986,"股票市场类型是沪深a股，主板上市股票，股票简称不包含st，上市板块不包含科创，市值小于100亿元，2日涨跌幅<5%且涨幅<3%，振幅小于6%，量比>0.8,换手率大于1%小于10%，近期周成交量环比增长从大到小排序"
459373,2026-01-22 20:14:19,2,73.6655,非ST，非科创，非创业板，前一个交易日涨跌幅在-1到0.8之间，当日涨跌幅在1.45到2.8之间，前250个交易日有5次以上涨停，周成交量环比增长从大到小排序
459105,2026-01-21 19:41:57,2,63.8699,主板上市股票，非st，市值小于250亿元，6日涨跌幅小于5%，涨幅<3%，振幅小于6%，换手率小于5%，按照周成交量/上周成交量从大到小排列前500名。
459103,2026-01-21 19:31:52,2,56.8765,"总市值大于10亿小于200亿;近期周成交量环比增长率大于100%;上市时间大于2年;近3个月的区间涨跌幅小于15%;主板，排除ST,排除高开7%以上;涨幅大于0%小于5%;成交额由小到大；换手率〉1；量比1~3；"
459079,2026-01-21 17:35:54,2,61.2756,"非st，市值小于2000亿元，60日涨跌幅小于100%，30日涨跌幅小于25%，20日涨跌幅小于16%，6日涨跌幅小于6%，涨幅<9%，振幅小于5.98%，换手率小于10%，股价>MA10，成交量>昨日成交量*0.8，当日的周成交量>上周的周成交量*0.5，净流入排名,股价<13元"
458827,2026-01-20 17:09:47,2,58.137,非ST，近1周日涨跌幅>0%且<3%，近两周跌幅不超过5%，筹码集中度70小于20，按周成交量环比增长>30%
458333,2026-01-18 19:39:33,2,74.3386,非ST，非科创，非创业板，融券余额>0，日涨跌幅>0%且<2%，周成交量增长率>50%，换手率>0.5%且<10%，股票近10日的区间涨跌幅>-5%且<5%，筹码集中度90小于20，流通市值大于30亿小于300亿，股价<15元，量比>1，当日股价>MA5且>MA10，按周成交量环比增长降序排序
